name,price,change,high_low,volume,marketcap
CRO/ Crypto.com Coin ,0.38789,+1.49 %,0.39/0.37588,"2,907,692.97","$8,512,679,990"
PLATO/PlatoFarm,0.027748,-4.76 %,0.03378/0.027,"2,899,235.22",$1
AXS/ Axie Infinity ,38.204,-3.56 %,40.115/37.969,"2,895,684.91","$2,326,910,130"
NUM/Numbers Protocol,0.348389,+14.30 %,0.381779/0.295396,"2,847,690.64",$-
RMRK/RMRK,10.7866,-0.27 %,11.3583/10.6653,"2,663,379.29","$96,000,740"
EGLD/ Elrond ,149.29,+1.19 %,152.53/143.69,"2,651,911.33","$3,256,347,070"
HNT/ Helium ,16.46,+1.23 %,16.99/15.75,"2,646,886.76","$1,167,251,090"
FTT/ FTX Token ,39.32,-0.95 %,39.93/38.3,"2,624,436.58","$5,386,531,259"
ICP/ Internet Computer ,15.18,-0.06 %,15.59/14.53,"2,522,372.15","$3,411,120,327"
STX/ Stacks ,1.0445,+0.21 %,1.0584/1.0101,"2,492,813.54","$1,367,140,233"
API3/ API3 ,4.024,+1.95 %,4.094/3.785,"2,435,650.47","$82,178,128"
DODO/ DODO ,0.3568,+0.19 %,0.3655/0.341,"2,383,010.69","$39,444,941"
BBF/Bubblefong,29.417,-4.75 %,33.5/29.4,"2,343,292.79","$1,088"
1INCH/ 1inch ,1.3194,+0.54 %,1.3462/1.2562,"2,298,148.30","$547,560,579"
BLOK/ Bloktopia ,0.01304,+1.00 %,0.01346/0.0127,"2,225,052.62","$108,736,704"
THETA/ Theta ,2.747,-2.42 %,2.8444/2.6655,"2,160,538.05","$2,747,000,000"
ONSTON/Onston,0.096,-0.77 %,0.10104/0.09245,"2,146,610.98","$14,668,800"
HERO/ Metahero ,0.02895,-3.42 %,0.030488/0.028635,"2,109,337.47","$147,518,873"
KAVA/ Kava ,5.2579,+2.07 %,5.2942/4.8349,"2,104,719.45","$931,434,787"
RNDR/ Render ,1.4669,-3.35 %,1.5735/1.4625,"2,096,298.07","$211,388,334"
USDT/Tether,1.0002,0.00 %,1.0004/1.0001,"2,084,389.80",$-
VLX/Velas,0.13123,-9.37 %,0.14774/0.11972,"2,083,995.54","$300,462,846"
MTRG/Meter,5.5784,-3.70 %,6.23/5.165,"2,056,602.15",$-
CHZ/ Chiliz ,0.2005,+0.74 %,0.20571/0.19269,"2,023,525.38","$1,203,075,981"
GMM/Gamium,0.00995564,-2.11 %,0.01039914/0.00901,"2,021,142.54","$41,504,337"
TLOS/Telos,0.5772,+1.53 %,0.5774/0.5559,"2,011,988.10","$155,915,252"
HT/ HuobiToken ,9.2923,+1.66 %,9.3442/9.0511,"1,937,399.30","$1,538,956,475"
UFO/UFO Gaming,0.00000624,-2.13 %,0.000006502/0.000006004,"1,889,068.96","$160,727,273"
OGN/ Origin Protocol ,0.5255,+0.05 %,0.5808/0.5017,"1,786,081.86","$204,193,920"
UOS/Ultra,0.8813,+1.36 %,0.9075/0.8543,"1,702,820.20","$712,640,403"
FLOKI/ Floki Inu ,0.0000206713,-0.10 %,0.0000218556/0.0000193664,"1,687,349.05","$189,628,168"
NEO/ Neo ,18.81,-0.89 %,19.19/18.25,"1,673,267.26","$1,326,835,411"
BSV/ BitcoinSV ,77.66,+0.02 %,78.57/75.79,"1,644,487.29","$1,478,358,204"
MTV/ MultiVAC ,0.0030556,+0.11 %,0.0031955/0.0029999,"1,636,648.80","$3,838,309"
XTZ/ Tezos ,2.7752,-1.39 %,2.8609/2.7041,"1,632,235.15","$2,476,845,260"
WAVES/ Waves ,16.151,+3.91 %,16.848/14.771,"1,616,511.13","$1,745,000,943"
QNT/ Quant ,100.9,-0.37 %,105.05/99,"1,598,002.88","$1,218,139,264"
AZERO/Aleph Zero,2.2339,+4.50 %,2.2382/1.95,"1,553,604.69",$-
SCLP/ Scallop ,0.6433,+1.46 %,0.70275/0.61111,"1,544,551.00",$-
MV/GensoKishi Metaverse,1.12877,-9.16 %,1.2515/1.12,"1,534,814.80",$-
ISP/ Ispolink ,0.0025217,-1.98 %,0.0025757/0.0024654,"1,523,790.10","$977,159"
WAXP/ WAX ,0.24897,-0.91 %,0.25417/0.24064,"1,520,042.72","$485,857,153"
DAR/Mines of Dalarnia,0.942,-4.84 %,1.014/0.932,"1,460,452.23","$116,054,400"
ELU/Elumia Crown,0.129982,+22.94 %,0.163527/0.089613,"1,459,128.63",$-
ONT/ Ontology ,0.5012,-0.83 %,0.5148/0.4836,"1,445,739.16","$438,675,061"
SKL/ SKALE ,0.1584,-3.88 %,0.1663/0.1539,"1,439,477.13","$550,139,463"
CLV/ Clover Finance ,0.3002,-1.18 %,0.329/0.291,"1,422,654.36","$78,344,814"
POLK/Polkamarkets,0.1847,-2.22 %,0.1893/0.1767,"1,414,821.85","$2,253,340"
DASH/ Dash ,94.69,+0.02 %,96.37/91.02,"1,410,178.02","$1,011,727,141"
ONE/ Harmony ,0.10079,-1.29 %,0.10465/0.09878,"1,405,082.91","$1,204,360,408"
XCH/ Chia ,60.94,-1.85 %,63.64/60.8,"1,402,047.27","$211,651,202"
HBAR/ Hedera ,0.16859,-1.23 %,0.17415/0.16384,"1,401,464.68","$3,298,523,520"
DEP/DEAPCOIN,0.020872,-2.22 %,0.021631/0.02066,"1,352,170.19","$18,425,197"
SPA/ Sperax ,0.15823,-0.62 %,0.16425/0.15381,"1,341,081.48","$42,853,693"
SDAO/ SingularityDAO ,1.0815,-0.14 %,1.0985/1.0453,"1,334,074.55","$21,781,608"
