name,price,change,high_low,volume,marketcap
AFIN/USDT,0.03201/ 0.0320 USD,6.66 %,0.03205/0.02973,"421,822.64884 USDT",
FLOKI/USDT,0.00002057/ 0.000021 USD,0.24 %,0.00002141/0.00001976,"399,680.63380198 USDT",
KTX/USDT,0.13410/ 0.134 USD,-5.50 %,0.14514/0.13010,"396,071.89014 USDT",
CSPR/USDT,0.070200/ 0.0702 USD,-0.85 %,0.071400/0.068100,"394,807.787894 USDT",
SRM/USDT,2.1220/ 2.12 USD,-0.61 %,2.1760/2.0710,"392,934.5637 USDT",
HBAR/USDT,0.1683/ 0.168 USD,-1.98 %,0.1741/0.1640,"392,380.4894 USDT",
SMILE/USDT,0.001670/ 0.00167 USD,9.22 %,0.001715/0.001436,"384,726.377958 USDT",
SFM/USDT,0.000670/ 0.000670 USD,1.67 %,0.000773/0.000570,"383,527.192572 USDT",
XCN/USDT,0.08707/ 0.0871 USD,-3.46 %,0.09243/0.08334,"374,400.13586 USDT",
DYDX/USDT,4.1430/ 4.14 USD,-2.68 %,4.2910/3.9910,"368,101.2262 USDT",
MVG/USDT,0.00165/ 0.00165 USD,-8.84 %,0.00181/0.00162,"362,567.88154 USDT",
FRONT/USDT,0.4568/ 0.457 USD,-1.08 %,0.4644/0.4489,"360,972.4142 USDT",
SYP/USDT,0.012010/ 0.0120 USD,-1.72 %,0.012590/0.011251,"359,844.728156 USDT",
CELO/USDT,2.7720/ 2.77 USD,0.76 %,2.8090/2.6510,"357,280.6721 USDT",
UFO/USDT,0.000006242/ 0.000006 USD,-2.56 %,0.000006971/0.000006126,"355,137.472915242 USDT",
APP/USDT,0.003400/ 0.00340 USD,51.52 %,0.004139/0.002189,"353,938.810616 USDT",
IMX/USDT,1.6700/ 1.67 USD,0.30 %,1.7370/1.6240,"353,446.2351 USDT",
BABYDOGE/USDT,0.000000002237/ 0 USD,0.63 %,0.000000002499/0.000000002101,"351,915.503445651330 USDT",
LOKA/USDT,2.4524/ 2.45 USD,6.25 %,2.5395/2.2068,"351,784.0563 USDT",
RBIF/USDT,0.00000000036183/ 0 USD,2.39 %,0.00000000039300/0.00000000035002,"351,304.25440654129156 USDT",
SUSHI/USDT,2.953/ 2.95 USD,-2.89 %,3.044/2.860,"349,765.425 USDT",
AMP/USDT,0.022130/ 0.0221 USD,5.09 %,0.023181/0.020550,"349,368.103454 USDT",
RCG/USDT,1.930/ 1.93 USD,2.93 %,1.940/1.842,"337,873.263 USDT",
THN/USDT,0.0420/ 0.0420 USD,-1.87 %,0.0447/0.0401,"336,963.6152 USDT",
AMPT/USDT,0.201/ 0.201 USD,-9.46 %,0.227/0.192,"330,512.940 USDT",
PKR/USDT,0.0335/ 0.0335 USD,-0.59 %,0.0367/0.0325,"328,050.1968 USDT",
LXF/USDT,0.19843/ 0.198 USD,0.14 %,0.20194/0.19284,"326,975.34514 USDT",
ARV/USDT,0.00030255/ 0.000303 USD,0.07 %,0.00030914/0.00029447,"323,929.80185763 USDT",
PEOPLE/USDT,0.044700/ 0.0447 USD,3.00 %,0.047800/0.041071,"322,001.344008 USDT",
PLATO/USDT,0.02886/ 0.0289 USD,-0.93 %,0.03670/0.02504,"320,204.33333 USDT",
BRWL/USDT,0.13474/ 0.135 USD,1.00 %,0.15231/0.12328,"313,151.86504 USDT",
TFUEL/USDT,0.150600/ 0.151 USD,-1.70 %,0.154400/0.148800,"312,336.285314 USDT",
DODO/USDT,0.3600/ 0.360 USD,1.12 %,0.3651/0.3430,"311,235.0170 USDT",
ALICE/USDT,5.8900/ 5.89 USD,-0.34 %,6.0800/5.6699,"311,019.7851 USDT",
CVX/USDT,27.00/ 27 USD,9.14 %,27.58/24.13,"309,323.17 USDT",
CHESS/USDT,0.6530/ 0.653 USD,0.77 %,0.6661/0.6299,"307,691.4530 USDT",
USDR/USDT,0.711780/ 0.712 USD,2.37 %,0.724358/0.681445,"298,263.613570 USDT",
AUDIO/USDT,1.06600/ 1.07 USD,-0.47 %,1.13100/1.02300,"294,464.19630 USDT",
MONI/USDT,0.15647/ 0.156 USD,-2.77 %,0.16361/0.15321,"287,902.33871 USDT",
KICK/USDT,0.023321/ 0.0233 USD,-3.85 %,0.024336/0.022581,"287,744.119578 USDT",
ZENITH/USDT,0.2736/ 0.274 USD,-1.08 %,0.2807/0.2593,"287,719.0232 USDT",
CHZ/USDT,0.200200/ 0.200 USD,0.10 %,0.205600/0.193100,"286,859.568036 USDT",
$LORDZ/USDT,0.022442/ 0.0224 USD,11.90 %,0.022459/0.018551,"286,419.927814 USDT",
XTZ/USDT,2.7720/ 2.77 USD,-2.84 %,2.8590/2.7060,"284,989.1258 USDT",
WEMIX/USDT,3.13047/ 3.13 USD,-2.77 %,3.22503/3.06465,"284,977.94058 USDT",
UBX/USDT,0.000158/ 0.000158 USD,-3.07 %,0.000166/0.000139,"282,018.779464 USDT",
AGV/USDT,0.00512690/ 0.00513 USD,-3.92 %,0.00545441/0.00512332,"279,624.20609812 USDT",
HOT/USDT,0.004417/ 0.00442 USD,0.64 %,0.004508/0.004233,"277,188.401282 USDT",
VSP/USDT,1.7316/ 1.73 USD,-0.24 %,1.7396/1.7293,"272,476.2425 USDT",
LNR/USDT,0.000000024030/ &lt; 0.000001 USD,-5.36 %,0.000000032000/0.000000023761,"272,022.020321223786 USDT",
QTUM/USDT,6.0430/ 6.04 USD,-0.87 %,6.2300/5.9530,"270,586.5976 USDT",
LPY/USDT,0.00622/ 0.00622 USD,5.25 %,0.00628/0.00588,"269,784.85334 USDT",
GWT/USDT,0.00911860/ 0.00912 USD,-2.22 %,0.00938157/0.00906149,"269,151.78877332 USDT",
WRK/USDT,0.20987/ 0.210 USD,-0.45 %,0.21236/0.20889,"268,465.13224 USDT",
NFT/USDT,0.00000155/ 0.000002 USD,0.65 %,0.00000156/0.00000149,"266,451.67535456 USDT",
TON/USDT,2.261/ 2.26 USD,9.44 %,2.300/2.040,"264,905.872 USDT",
CRO/USDT,0.3886/ 0.389 USD,0.94 %,0.3905/0.3764,"262,790.5146 USDT",
BERRY/USDT,0.002496/ 0.00250 USD,-1.27 %,0.002563/0.002437,"260,749.800694 USDT",
TRAXX/USDT,0.10834442/ 0.108 USD,1.66 %,0.11129507/0.10470000,"260,678.26886196 USDT",
SST/USDT,0.313511/ 0.314 USD,0.96 %,0.344860/0.301724,"258,243.515684 USDT",
PSTAKE/USDT,0.5257/ 0.526 USD,-1.44 %,0.5395/0.5131,"252,937.8220 USDT",
MASK/USDT,4.2190/ 4.22 USD,10.24 %,4.2810/3.7290,"249,547.3779 USDT",
SXP/USDT,1.1000/ 1.1 USD,-0.80 %,1.1280/1.0570,"249,362.0365 USDT",
